datetime,open,high,low,close,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label,date,hour,dayofweek,month,day,dayofyear
2024-08-01 13:30:00+00:00,117.52,118.88,116.68,117.81,NVDA,0.214462,0.061181,Neutral,2024-08-01,13,3,8,1,214
2024-08-01 13:40:00+00:00,117.81,120.15,117.545,119.275,NVDA,0.214462,0.061181,Neutral,2024-08-01,13,3,8,1,214
2024-08-01 13:50:00+00:00,119.28,119.69,118.58,118.95,NVDA,0.214462,0.061181,Neutral,2024-08-01,13,3,8,1,214
2024-08-01 14:00:00+00:00,118.87,119.26,117.185,117.605,NVDA,0.214462,0.061181,Neutral,2024-08-01,14,3,8,1,214
2024-08-01 14:10:00+00:00,117.61,118.55,117.41,117.705,NVDA,0.214462,0.061181,Neutral,2024-08-01,14,3,8,1,214
2024-08-01 14:20:00+00:00,117.69,117.78,116.295,116.375,NVDA,0.214462,0.061181,Neutral,2024-08-01,14,3,8,1,214
2024-08-01 14:30:00+00:00,116.435,116.745,115.315,115.76,NVDA,0.214462,0.061181,Neutral,2024-08-01,14,3,8,1,214
2024-08-01 14:40:00+00:00,115.765,116.08,113.54,113.89,NVDA,0.214462,0.061181,Neutral,2024-08-01,14,3,8,1,214
2024-08-01 14:50:00+00:00,113.88,115.01,113.88,113.97,NVDA,0.214462,0.061181,Neutral,2024-08-01,14,3,8,1,214
2024-08-01 15:00:00+00:00,114.0,114.285,113.06,113.29,NVDA,0.214462,0.061181,Neutral,2024-08-01,15,3,8,1,214
2024-08-01 15:10:00+00:00,113.3,114.625,113.22,114.35,NVDA,0.214462,0.061181,Neutral,2024-08-01,15,3,8,1,214
2024-08-01 15:20:00+00:00,114.36,114.8,114.04,114.255,NVDA,0.214462,0.061181,Neutral,2024-08-01,15,3,8,1,214
2024-08-01 15:30:00+00:00,114.24,114.345,113.24,113.29,NVDA,0.214462,0.061181,Neutral,2024-08-01,15,3,8,1,214
2024-08-01 15:40:00+00:00,113.285,113.33,111.89,112.36,NVDA,0.214462,0.061181,Neutral,2024-08-01,15,3,8,1,214
2024-08-01 15:50:00+00:00,112.34,113.23,112.195,112.66,NVDA,0.214462,0.061181,Neutral,2024-08-01,15,3,8,1,214
2024-08-01 16:00:00+00:00,112.69,113.845,112.585,113.54,NVDA,0.214462,0.061181,Neutral,2024-08-01,16,3,8,1,214
2024-08-01 16:10:00+00:00,113.53,113.68,112.54,112.605,NVDA,0.214462,0.061181,Neutral,2024-08-01,16,3,8,1,214
2024-08-01 16:20:00+00:00,112.605,112.765,111.67,112.01,NVDA,0.214462,0.061181,Neutral,2024-08-01,16,3,8,1,214
2024-08-01 16:30:00+00:00,112.01,112.15,111.205,111.22,NVDA,0.214462,0.061181,Neutral,2024-08-01,16,3,8,1,214
2024-08-01 16:40:00+00:00,111.21,111.66,110.79,111.525,NVDA,0.214462,0.061181,Neutral,2024-08-01,16,3,8,1,214
2024-08-01 16:50:00+00:00,111.53,111.53,110.715,111.27,NVDA,0.214462,0.061181,Neutral,2024-08-01,16,3,8,1,214
2024-08-01 17:00:00+00:00,111.24,111.535,110.255,110.49,NVDA,0.214462,0.061181,Neutral,2024-08-01,17,3,8,1,214
2024-08-01 17:10:00+00:00,110.52,110.585,109.86,109.945,NVDA,0.214462,0.061181,Neutral,2024-08-01,17,3,8,1,214
2024-08-01 17:20:00+00:00,109.935,110.005,108.43,109.01,NVDA,0.214462,0.061181,Neutral,2024-08-01,17,3,8,1,214
2024-08-01 17:30:00+00:00,109.06,109.66,107.78,107.78,NVDA,0.214462,0.061181,Neutral,2024-08-01,17,3,8,1,214
2024-08-01 17:40:00+00:00,107.78,108.865,107.42,108.39,NVDA,0.214462,0.061181,Neutral,2024-08-01,17,3,8,1,214
2024-08-01 17:50:00+00:00,108.405,109.76,108.27,109.72,NVDA,0.214462,0.061181,Neutral,2024-08-01,17,3,8,1,214
2024-08-01 18:00:00+00:00,109.72,109.97,108.65,108.7,NVDA,0.214462,0.061181,Neutral,2024-08-01,18,3,8,1,214
2024-08-01 18:10:00+00:00,108.7,108.975,107.01,107.265,NVDA,0.214462,0.061181,Neutral,2024-08-01,18,3,8,1,214
2024-08-01 18:20:00+00:00,107.255,108.425,107.14,107.59,NVDA,0.214462,0.061181,Neutral,2024-08-01,18,3,8,1,214
2024-08-01 18:30:00+00:00,107.585,107.93,106.82,107.79,NVDA,0.214462,0.061181,Neutral,2024-08-01,18,3,8,1,214
2024-08-01 18:40:00+00:00,107.79,108.29,107.06,107.115,NVDA,0.214462,0.061181,Neutral,2024-08-01,18,3,8,1,214
2024-08-01 18:50:00+00:00,107.11,107.66,106.865,107.07,NVDA,0.214462,0.061181,Neutral,2024-08-01,18,3,8,1,214
2024-08-01 19:00:00+00:00,107.045,108.085,107.01,107.6,NVDA,0.214462,0.061181,Neutral,2024-08-01,19,3,8,1,214
2024-08-01 19:10:00+00:00,107.605,108.415,107.59,107.985,NVDA,0.214462,0.061181,Neutral,2024-08-01,19,3,8,1,214
2024-08-01 19:20:00+00:00,107.99,108.64,107.51,108.36,NVDA,0.214462,0.061181,Neutral,2024-08-01,19,3,8,1,214
2024-08-01 19:30:00+00:00,108.37,108.92,108.11,108.795,NVDA,0.214462,0.061181,Neutral,2024-08-01,19,3,8,1,214
2024-08-01 19:40:00+00:00,108.77,108.89,107.7,108.7,NVDA,0.214462,0.061181,Neutral,2024-08-01,19,3,8,1,214
2024-08-01 19:50:00+00:00,108.65,109.395,107.98,109.345,NVDA,0.214462,0.061181,Neutral,2024-08-01,19,3,8,1,214
2024-08-02 13:30:00+00:00,103.8,106.88,102.7,106.795,NVDA,0.214462,0.061181,Neutral,2024-08-02,13,4,8,2,215
2024-08-02 13:40:00+00:00,106.795,107.49,104.18,104.56,NVDA,0.214462,0.061181,Neutral,2024-08-02,13,4,8,2,215
2024-08-02 13:50:00+00:00,104.58,105.12,103.515,104.04,NVDA,0.214462,0.061181,Neutral,2024-08-02,13,4,8,2,215
2024-08-02 14:00:00+00:00,104.06,104.46,101.9,102.34,NVDA,0.214462,0.061181,Neutral,2024-08-02,14,4,8,2,215
2024-08-02 14:10:00+00:00,102.295,103.21,101.39,102.96,NVDA,0.214462,0.061181,Neutral,2024-08-02,14,4,8,2,215
2024-08-02 14:20:00+00:00,102.955,104.62,102.73,103.94,NVDA,0.214462,0.061181,Neutral,2024-08-02,14,4,8,2,215
2024-08-02 14:30:00+00:00,103.83,104.74,102.5,102.5,NVDA,0.214462,0.061181,Neutral,2024-08-02,14,4,8,2,215
